country,S&P Rating,Rating Numeric Equivalent,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)"
Albania,B+,5,28748,2930,106.9,11541,2.6,3984.2,22.4,26,51.7,41.4,18.3,40.3,15.8,134,134,1962,4669,-2707,-1222,-0.1,57.4,2.2,8.8,14.6,5.9,1.3,3.5,84,36
Argentina,CCC+,2,2780400,44271,16.2,632343,2.4,14564.5,6,27.8,66.2,2,24.8,73.1,6.5,119,119,57733,55610,2124,-15944,1,91.8,1,5,13.7,4.8,3.8,5.3,3167,85
Aruba,BBB,10,180,105,584.8,2702,0.1,26005.4,0.5,15.4,84.1,0.6,14,85.1,0,-99,-99,95,1117,-1022,96,0.5,41.5,-0.3,0,14.8,-99,-99,6.2,1,120
Australia,AAA,18,7692060,24451,3.2,1230859,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,5.5,111,111,189630,189406,224,-57746,1.5,89.4,1.5,58.2,3.9,9.4,3.4,5.2,15282,222
Austria,AA+,17,83871,8736,106,376967,1,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,6.2,108,108,145503,149299,-3795,7020,0.6,66,0.4,166.4,3.3,11.2,5.2,5.5,505,158
Azerbaijan,BB+,8,86600,9828,118.9,53049,0.7,5438.7,6.7,49.9,43.4,36.7,14.2,49.1,5.2,131,136,9143,8532,611,-222,1.3,54.6,1.6,623.3,31.4,6,3.4,2.6,2459,61
Bahamas,BB,7,13940,395,39.5,8854,-1.7,22817.2,1.6,12.7,85.7,3.9,14.2,81.9,14.7,132,132,365,2904,-2539,-1409,1.4,82.9,1.5,0.1,9.1,7.7,0,0,0,90
Bahrain,B+,5,771,1493,1963.9,31126,2.9,22600.2,0.3,40.7,59,1,33.4,65.6,1.3,167,167,12892,14749,-1856,1124,2,88.8,1.7,0.4,6.9,5,0.9,2.7,961,413
Bangladesh,BB-,6,147570,164670,1265,194466,6.6,1207.9,15.5,28.1,56.3,40.6,19.1,40.3,4,141,140,36031,52624,-16593,2687,1.2,34.3,3.6,233,33.3,2.8,0.4,1.9,1438,11
Barbados,B-,3,431,286,664.5,4385,0.9,15429.4,1.7,12.1,86.2,2.8,19.3,77.9,11.3,88,88,517,1621,-1104,-248,0.3,31.5,0.1,0,9.6,7.5,0,6.6,2,59
Belarus,B-,3,207600,9468,46.7,54609,-3.9,5750.8,7.5,38.9,53.6,9.6,32,58.4,0.5,122,122,23414,27464,-4050,-2037,0,76.7,0,7.9,3.6,5.7,4.1,4.9,155,122
Belgium,B,4,30528,11429,377.5,455107,1.5,40277.8,0.7,22.2,77.1,1.2,21.2,77.6,8.3,108,107,398033,372713,25321,1936,0.6,97.9,0.5,63.8,3.5,10.6,3,6.6,520,196
Belize,SD,0,22966,375,16.4,1721,1.2,4789.4,14.6,18.5,66.9,16.1,15.9,67.9,11.5,97,97,246,952,-706,-175,2.2,44,1.9,3.1,14.3,5.8,0,6.4,9,36
Bolivia (Plurinational State of),B+,5,1098581,11052,10.2,32998,4.8,3076.8,12.6,31,56.5,29.5,21.1,49.4,3.8,142,143,6969,8374,-1405,-1854,1.6,68.5,2.3,0.8,42.9,6.3,0.5,7.3,962,32
Bosnia and Herzegovina,B,4,51209,3507,68.8,16251,3.1,4265,7.3,26.5,66.2,18,30.4,51.7,25.4,96,97,5327,9130,-3803,-923,-1,39.8,0.1,157.6,7.6,9.6,1.9,-99,252,85
Botswana,BBB+,11,582000,2292,4,14391,-0.3,6360.6,2.4,33.4,64.2,25.7,14.9,59.4,18.6,110,110,7321,6103,1218,1120,1.8,57.4,1.3,2.8,35.2,5.4,0.4,0,47,44
Brazil,BB-,6,8515767,209288,25,1772591,-3.8,8528.3,5.2,22.7,72,15.2,21.5,63.2,12.4,135,136,185235,137552,47683,-58882,0.9,85.7,1.2,41.1,15.8,8.3,1.9,6,10948,61
