Rating,X1,X2,X3,X4,X5,X6,X7
B,13.26,1.9,4.62,70.5,1225.5,16.1,1.94
BB,214.08,4.1,5.36,9.21,1691.0,9.8,3.25
D,540.16,0.47,12.92,46.91,9082.0,7.3,36.4
B,10.28,3.4,3.65,41.9,370.0,16.0,5.79
AA,1444.19,2.47,61.89,28.79,4982.6,5.6,2.45
AA,437.12,0.3,51.13,74.19,11082.7,4.8,2.0
BBB,74.15,2.0,7.88,13.75,2632.0,5.5,5.43
BBB,33.86,4.51,25.2,43.87,988.8,7.4,2.5
CCC,76.14,1.59,8.04,36.71,2232.7,5.9,18.31
A,534.67,1.07,47.52,99.75,-2405.9,8.6,1.11
CCC,17.98,1.25,4.8,42.75,331.7,28.6,-0.09
BBB,2353.03,0.14,11.61,66.34,64045.3,6.6,6.2
BBB,55.84,1.71,7.71,17.63,1450.4,13.1,0.89
AA,1788.72,2.53,50.27,89.12,62324.7,7.1,0.94
AA,10380.38,7.35,7.59,22.4,123911.0,4.6,2.63
BB,57.16,-0.4,13.51,59.78,580.1,17.2,2.21
CCC,23.27,-2.26,27.19,112.01,533.3,15.7,-0.4
AA,205.66,1.99,19.55,47.94,4990.4,7.0,1.43
AA,340.81,1.13,60.63,45.17,2083.2,7.1,0.78
BB,100.76,3.8,6.29,24.26,702.8,4.5,2.74
CCC,286.44,2.2,3.44,89.18,5553.0,12.7,9.48
A,25.95,2.08,19.72,11.35,949.8,8.5,2.79
A,271.17,-0.11,49.54,57.04,-1064.8,8.1,1.48
AA,2846.89,0.18,42.74,93.88,4875.5,10.5,0.86
BB,16.54,4.77,3.67,31.79,1009.7,14.3,-0.51
AA,3859.55,1.6,47.63,78.06,26720.8,5.3,1.5
C,238.02,0.77,21.68,173.81,2566.5,27.6,-0.92
BBB,60.42,4.24,3.7,24.44,1308.9,2.8,4.34
BB,137.1,3.64,13.9,79.23,3091.1,10.5,1.73
BB,16.69,1.87,52.11,90.2,347.8,5.6,3.88
BBB,2049.5,7.42,1.63,66.72,28199.4,3.7,10.91
BBB,888.65,5.02,3.51,26.11,18444.0,6.0,6.41
A,246.44,4.79,53.31,122.8,35519.7,13.6,0.5
AA,303.77,2.77,37.03,66.73,11803.8,6.7,1.53
A,2147.95,-0.43,34.96,132.53,16507.8,12.2,1.22
BB,35.77,3.1,5.42,87.75,1798.5,12.6,5.47
BBB,212.26,4.3,12.28,13.53,9738.5,5.2,5.84
BB,7.4,3.6,1.27,47.73,757.6,7.9,6.61
BB,31.97,2.36,16.04,32.06,808.3,10.9,-0.02
AA,62.4,0.18,111.62,22.87,30075.4,5.7,1.73
BBB,1282.73,2.12,10.36,46.48,38285.7,5.0,3.81
B,7.94,4.6,2.23,24.39,231.3,5.9,4.64
AA,866.35,0.87,51.59,74.91,24388.9,6.7,2.51
A,206.06,1.68,32.0,35.92,986.5,6.4,0.92
AAA,500.24,2.23,97.36,29.52,9329.7,3.5,2.13
BBB,43.78,6.16,11.77,41.28,4651.3,4.0,4.03
BBB,202.95,2.35,6.59,19.6,10172.3,3.8,2.82
A,546.64,3.37,14.42,57.48,-6037.7,10.4,1.17
BB,230.01,0.89,22.08,128.84,3114.0,16.9,0.27
AA,210.0,6.15,93.4,34.25,-840.4,0.6,3.13
BB,199.95,1.76,10.0,39.25,3616.8,7.4,3.99
BBB,1857.46,0.64,12.74,13.41,79262.0,5.8,6.76
A,752.46,3.47,25.41,2.68,9298.0,5.5,3.51
B,43.87,-1.81,6.15,65.75,1033.7,22.6,7.69
A,99.97,2.41,18.42,54.87,591.0,14.0,1.4
BBB,49.51,2.64,23.96,73.02,-678.6,10.6,1.76
BB,350.08,1.52,6.48,45.23,8187.9,25.3,5.71
AA,1416.95,3.31,27.97,36.67,12220.7,3.2,1.31
A,1406.86,1.39,30.26,93.91,39166.6,26.7,1.41
AA,570.14,2.28,58.89,41.4,8149.5,8.0,-0.04
AAA,712.05,3.82,87.48,49.43,-5252.1,4.4,-0.24
BB,9.24,6.7,1.1,29.2,107.8,10.8,5.01
BB,373.8,0.71,5.56,45.27,12945.6,0.8,2.18
BBB,806.11,2.87,10.54,35.85,12866.0,9.9,7.49
B,33.7,11.1,6.5,20.65,3061.0,10.7,11.0
A,401.65,3.61,42.52,12.32,10488.0,3.8,2.2
AA,2945.15,2.55,45.6,90.1,37100.9,7.5,2.55
AA,17418.93,2.39,54.63,104.52,187528.0,7.5,1.46
BB,51.1,8.2,1.7,8.58,1077.0,10.8,12.1
CCC,205.79,-4.0,16.53,49.76,7040.0,7.6,40.64
BBB,186.05,5.98,2.05,54.98,8900.0,1.9,6.59
